"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"neos-3402294-bobin","easy","Feasible","37.038235","3","0.091000","0.06724999999999949","0.260989"
"supportcase7","easy","Solution not found (time limit exceded)","73.726239","1"," / ","-1132.223177"," / "
"ns1760995","easy","Solution not found (time limit exceded)","89.805144","1"," / ","-549.21438505"," / "
"s250r10","easy","Solution not found (time limit exceded)","538.572738","10"," / ","-0.1717804834232"," / "
"savsched1","easy","Feasible","95.905273","3","43832.000000","3217.7","0.926590"
"neos-4647030-tutaki","hard","Feasible","101.549772","3","30769.983400","27265.70599999996","0.113886"
"neos-5104907-jarama","hard","Solution not found (iteration limit exceded)","520.636827","15"," / ","935"," / "
"s100","hard","Solution not found (time limit exceded)","250.079197","6"," / ","-0.1697235270583"," / "
"supportcase12","easy","Feasible","64.943277","2","-7033.076262","-7559.533053817","0.069641"
"neos-5052403-cygnet","easy","Solution not found (time limit exceded)","66.208159","1"," / ","182"," / "
"roi5alpha10n8","easy","Feasible","125.065149","6","-39.108761","-52.322274351","0.252541"
"neos-5114902-kasavu","hard","Solution not found (iteration limit exceded)","558.177336","15"," / ","655"," / "
"neos-2075418-temuka","easy","Solution not found (time limit exceded)","102.675490","1"," / ","Infeasible"," / "
"supportcase19","hard","Solution not found (time limit exceded)","171.536357","2"," / ","12677205.99992052"," / "
"neos-3402454-bohle","hard","Solution not found (time limit exceded)","166.546514","2"," / ","Infeasible"," / "
"square41","easy","Solution not found (time limit exceded)","72.213784","2"," / ","15"," / "
"square47","easy","Solution not found (time limit exceded)","32.790014","0"," / ","15.9999999997877"," / "
